Filename;Peak Nr;Component;Master Peak;Ref  Name;Start (s);Rt (s);End (s);Width (s);Ampl  44 (mV);Ampl  45 (mV);Ampl  46 (mV);BGD 44 (mV);BGD 45 (mV);BGD 46 (mV);Area All (Vs);Area 44 (Vs);Area 45 (Vs);Area 46 (Vs);rArea All (mVs);rArea 44 (mVs);rArea 45 (mVs);rArea 46 (mVs);R 45CO2/44CO2;rR 45CO2/44CO2;rd 45CO2/44CO2 (per mil) vs  CO2 Lab Tank;d 45CO2/44CO2 (per mil) vs  VPDB VSMOW;DeltaDelta 45CO2/44CO2 (‰);R 46CO2/44CO2;rR 46CO2/44CO2;rd 46CO2/44CO2 (per mil) vs  CO2 Lab Tank;d 46CO2/44CO2 (per mil) vs  VPDB VSMOW;DeltaDelta 46CO2/44CO2 (‰);R 13C/12C;d 13C/12C (per mil) vs  VPDB;AT% 13C/12C (%);R 18O/16O;d 18O/16O (per mil) vs  VSMOW;AT% 18O/16O (%);R 17O/16O;d 17O/16O
53__273439_b4568_FAME BPX70_met.cf;11; -; -;CO2 Lab.Tank;1792.5;1798.6;1802.2;9.8;25;28;34;6.3;7.4;9.7;0.151;0.149;0.002;0.001;520;149;170;201;0.0115985;1.1452510;-13.972;-32.236; -;0.0037935;1.3502163;-23.488;-56.244; -;0.0108175;-32.438;1.070177;0.0018924;-56.234;0.188887;0.0003905;-12.186
53__273439_b4568_FAME BPX70_met.cf;12; -; -;CO2 Lab.Tank;1803.0;1810.9;1821.2;18.2;106;122;144;6.5;7.7;10.0;0.803;0.791;0.009;0.003;2772;791;909;1072;0.0116488;1.1502125;-9.700;-28.043; -;0.0038079;1.3553539;-19.772;-52.653; -;0.0108663;-28.081;1.074945;0.0018996;-52.648;0.189603;0.0003913;-10.252
53__273439_b4568_FAME BPX70_met.cf;13; -; -;CO2 Lab.Tank;1821.2;1829.3;1838.5;17.3;581;664;789;6.5;7.7;10.0;3.160;3.112;0.036;0.013;10899;3112;3570;4218;0.0116172;1.1471006;-12.379;-30.673; -;0.0038079;1.3553575;-19.770;-52.651; -;0.0108347;-30.900;1.071860;0.0018996;-52.640;0.189605;0.0003913;-10.247
53__273439_b4568_FAME BPX70_met.cf;14; -; -;CO2 Lab.Tank;1848.0;1856.5;1863.4;15.4;27;31;36;6.5;7.7;10.0;0.188;0.185;0.002;0.001;649;185;213;251;0.0116931;1.1545897;-5.932;-24.344; -;0.0038112;1.3565131;-18.934;-51.843; -;0.0109102;-24.146;1.079249;0.0019012;-51.846;0.189763;0.0003914;-9.819
53__273439_b4568_FAME BPX70_met.cf;15; -; -;CO2 Lab.Tank;1944.4;1955.0;1962.4;18.0;33;38;45;8.2;9.6;12.3;0.197;0.194;0.002;0.001;682;194;224;264;0.0116673;1.1520427;-8.124;-26.497; -;0.0038255;1.3616208;-15.240;-48.273; -;0.0108829;-26.590;1.076576;0.0019084;-48.266;0.190478;0.0003922;-7.892
53__273439_b4568_FAME BPX70_met.cf;16; -; -;CO2 Lab.Tank;1968.7;1975.3;1982.5;13.9;48;54;65;8.2;9.6;12.3;0.267;0.263;0.003;0.001;916;263;297;357;0.0114362;1.1292256;-27.769;-45.778; -;0.0038157;1.3581161;-17.775;-50.722; -;0.0106529;-47.167;1.054058;0.0019036;-50.674;0.189997;0.0003917;-9.188
53__273439_b4568_FAME BPX70_met.cf;17; -; -;CO2 Lab.Tank;2016.9;2023.8;2032.3;15.4;72;83;97;8.2;9.6;12.3;0.407;0.401;0.005;0.002;1407;401;462;544;0.0116749;1.1527967;-7.475;-25.859; -;0.0038160;1.3582407;-17.685;-50.635; -;0.0108916;-25.817;1.077422;0.0019037;-50.633;0.190005;0.0003917;-9.166
53__273439_b4568_FAME BPX70_met.cf;18; -; -;CO2 Lab.Tank;2147.6;2156.0;2161.0;13.5;235;265;319;8.0;9.4;12.0;1.396;1.375;0.016;0.006;4799;1375;1559;1866;0.0114798;1.1335298;-24.064;-42.141; -;0.0038120;1.3567956;-18.730;-51.645; -;0.0106969;-43.232;1.058364;0.0019017;-51.606;0.189811;0.0003915;-9.690
53__273439_b4568_FAME BPX70_met.cf;19; -; -;CO2 Lab.Tank;2161.0;2162.8;2172.1;11.0;81;92;109;8.0;9.4;12.0;0.412;0.405;0.005;0.002;1422;405;465;551;0.0116239;1.1477541;-11.817;-30.121; -;0.0038220;1.3603663;-16.147;-49.150; -;0.0108399;-30.441;1.072362;0.0019067;-49.136;0.190304;0.0003920;-8.360
53__273439_b4568_FAME BPX70_met.cf;20; -; -;CO2 Lab.Tank;2197.6;2206.8;2209.8;12.3;75;86;102;8.0;9.4;12.0;0.454;0.447;0.005;0.002;1568;447;515;606;0.0116743;1.1527366;-7.527;-25.910; -;0.0038106;1.3563264;-19.069;-51.973; -;0.0108915;-25.820;1.077418;0.0019010;-51.973;0.189738;0.0003914;-9.888
53__273439_b4568_FAME BPX70_met.cf;21; -; -;CO2 Lab.Tank;2209.8;2216.2;2225.6;15.7;539;610;731;8.0;9.4;12.0;3.155;3.107;0.035;0.013;10858;3107;3537;4213;0.0115285;1.1383396;-19.922;-38.076; -;0.0038094;1.3558905;-19.384;-52.278; -;0.0107458;-38.851;1.063159;0.0019004;-52.249;0.189683;0.0003913;-10.037
